alias,species,bioc_full,bioc_abbrev,kegg,mart_dataset,symbol_name
,,,Ag,aga,,
,,,At,ath,,
,,,Bt,bta,,
worm,Caenorhabditis elegans,,Ce,cel,,
fly,Drosophila melanogaster,,Dm,dme,flybasename_gene,dmelanogaster_gene_ensembl
zebrafish,Danio rerio,,Dr,dre,drerio_gene_ensembl,zfin_id_symbol
,,,EcK12,eco,,
,,,EcSakai,ecs,,
,,,Gg,gga,,
human,Homo sapiens,,Hs,hsa,hsapiens_gene_ensembl,hgnc_symbol
cyno,Macaca fascicularis,,Mf,mcf,mfascicularis_gene_ensembl,external_gene_name
mouse,Mus musculus,,Mm,mmu,mmusculus_gene_ensembl,mgi_symbol
,,,Mmu,mcc,,
,,,Pf,pfa,,
,,,Pt,ptr,,
rat,Rattus norvegicus,,Rn,rno,,
yeast,Saccharomyces cerevisiae,,Ss,ssc,,
,,,Xl,xla,,